subject	glasses	distance	target	median_acc_x	median_acc_y
p1	invisible	30	1	-4.135774	-1.473198
p1	invisible	30	2	-2.755699	-2.258393
p1	invisible	30	3	-4.666522	-0.186275
p1	invisible	30	4	-3.560636	-0.689942
p1	invisible	30	5	-3.131159	-0.874322
p1	invisible	200	1	3.661443	-0.029598
p1	invisible	200	2	4.161328	-1.019414
p1	invisible	200	3	5.456652	0.120608
p1	invisible	200	4	4.456606	0.044453
p1	invisible	200	5	3.339474	-0.739789
p1	neon	30	1	0.149664	0.037374
p1	neon	30	2	-1.148078	0.509561
p1	neon	30	3	0.027207	-0.053287
p1	neon	30	4	-0.509599	-0.377116
p1	neon	30	5	0.140326	0.177312
p1	neon	200	1	-1.000113	2.106281
p1	neon	200	2	-1.123382	2.324659
p1	neon	200	3	-0.083816	2.43919
p1	neon	200	4	-1.209313	3.184765
p1	neon	200	5	-0.678399	1.382984
p1	smi	30	1	-0.865715	-1.450354
p1	smi	30	2	-0.704603	-0.264516
p1	smi	30	3	-1.22586	-2.626584
p1	smi	30	4	-2.18901	-0.024882
p1	smi	30	5	0.550403	-3.485993
p1	smi	200	1	-1.334617	2.594013
p1	smi	200	2	-1.418332	3.801933
p1	smi	200	3	-1.193063	1.159681
p1	smi	200	4	-2.48269	4.125931
p1	smi	200	5	0.109339	0.572219
p1	g2	30	1	0.064406	0.878403
p1	g2	30	2	-1.203266	1.606556
p1	g2	30	3	0.456816	1.769342
p1	g2	30	4	0.399631	0.54903
p1	g2	30	5	-0.099199	1.899176
p1	g2	200	1	0.156689	2.042462
p1	g2	200	2	0.127574	2.081511
p1	g2	200	3	-0.199866	2.241485
p1	g2	200	4	0.325627	1.490454
p1	g2	200	5	-0.630918	3.928815
p1	g3	30	1	-0.433846	2.509127
p1	g3	30	2	-0.214005	2.679328
p1	g3	30	3	-0.740219	2.509757
p1	g3	30	4	-0.47883	1.936492
p1	g3	30	5	-0.475853	2.75488
p1	g3	200	1	-0.429482	3.405928
p1	g3	200	2	-0.140903	3.452464
p1	g3	200	3	-0.944933	3.623473
p1	g3	200	4	-0.175199	2.415279
p1	g3	200	5	0.086723	3.716974
p1	vps	30	1	-6.748673	8.400968
p1	vps	30	2	-15.61495	6.466365
p1	vps	30	3	0.967401	6.194911
p1	vps	30	4	-6.418269	13.580451
p1	vps	30	5	-6.381844	3.381175
p1	vps	200	1	-4.363058	2.101505
p1	vps	200	2	-9.893323	2.693518
p1	vps	200	3	0.455659	1.723969
p1	vps	200	4	-3.636984	5.40302
p1	vps	200	5	-2.786943	0.121384
p2	invisible	30	1	-5.703204	-2.044469
p2	invisible	30	2	-4.365319	-1.205176
p2	invisible	30	3	-7.623502	-2.351252
p2	invisible	30	4	-5.687858	-3.402122
p2	invisible	30	5	-7.029523	-0.909565
p2	invisible	200	1	0.227312	-1.136414
p2	invisible	200	2	0.55544	-0.397697
p2	invisible	200	3	0.283792	-1.226372
p2	invisible	200	4	1.451379	-2.236424
p2	invisible	200	5	0.156757	-0.820363
p2	neon	30	1	-1.292819	1.304526
p2	neon	30	2	-1.26418	1.815149
p2	neon	30	3	-0.315407	1.906164
p2	neon	30	4	-1.071747	0.871298
p2	neon	30	5	-1.690722	1.761413
p2	neon	200	1	-1.408494	2.621799
p2	neon	200	2	-2.210172	2.982454
p2	neon	200	3	-0.597669	2.866192
p2	neon	200	4	-1.299312	3.010667
p2	neon	200	5	-1.406479	2.80708
p2	smi	30	1	0.998549	-1.397156
p2	smi	30	2	1.874254	-0.880059
p2	smi	30	3	0.097584	-1.537165
p2	smi	30	4	0.804193	-2.292259
p2	smi	30	5	1.163256	-0.361614
p2	smi	200	1	0.735735	1.288522
p2	smi	200	2	1.082522	1.787239
p2	smi	200	3	0.458736	0.920994
p2	smi	200	4	0.497408	0.742418
p2	smi	200	5	0.936448	1.803295
p2	g2	30	1	-0.518194	1.645136
p2	g2	30	2	-0.024525	1.374742
p2	g2	30	3	-1.304802	1.461995
p2	g2	30	4	-0.247542	-0.301031
p2	g2	30	5	-0.995227	1.706711
p2	g2	200	1	-0.906024	3.113066
p2	g2	200	2	0.301989	1.870543
p2	g2	200	3	-1.360329	2.30766
p2	g2	200	4	-0.351967	1.060059
p2	g2	200	5	-0.679031	2.61136
p2	g3	30	1	-0.55044	2.355013
p2	g3	30	2	-0.618039	2.71353
p2	g3	30	3	-0.928031	2.359318
p2	g3	30	4	-0.586545	1.500841
p2	g3	30	5	-0.439344	2.984753
p2	g3	200	1	0.216865	3.605757
p2	g3	200	2	0.265913	3.837742
p2	g3	200	3	-0.730818	3.345086
p2	g3	200	4	0.140534	2.342668
p2	g3	200	5	0.30045	4.268169
p2	vps	30	1	-1.164835	-0.948841
p2	vps	30	2	0.650761	-1.282923
p2	vps	30	3	-1.225462	-0.063668
p2	vps	30	4	-1.089445	-0.621035
p2	vps	30	5	-0.352184	-0.682716
p2	vps	200	1	-0.236622	1.172162
p2	vps	200	2	-0.804837	0.829094
p2	vps	200	3	-0.147362	0.923105
p2	vps	200	4	-0.852468	2.26925
p2	vps	200	5	-0.445463	1.798088
p3	invisible	30	1	-3.887239	-5.417292
p3	invisible	30	2	-4.340427	-5.997933
p3	invisible	30	3	-3.968177	-5.166148
p3	invisible	30	4	-4.464662	-5.05785
p3	invisible	30	5	-4.443803	-5.448337
p3	invisible	200	1	0.553902	-4.244753
p3	invisible	200	2	1.222327	-4.600293
p3	invisible	200	3	2.06137	-3.980822
p3	invisible	200	4	0.341839	-3.637431
p3	invisible	200	5	1.464207	-4.9061
p3	neon	30	1	0.035966	-4.435791
p3	neon	30	2	0.047077	-4.439112
p3	neon	30	3	-0.161233	-3.938691
p3	neon	30	4	-0.579705	-5.267549
p3	neon	30	5	-0.473775	-3.399061
p3	neon	200	1	-0.327366	-3.547138
p3	neon	200	2	-1.024477	-3.452985
p3	neon	200	3	-0.137599	-3.387207
p3	neon	200	4	-1.055893	-3.722639
p3	neon	200	5	-0.453053	-3.630632
p3	smi	30	1	0.672445	-2.407995
p3	smi	30	2	1.184511	-2.590758
p3	smi	30	3	0.02134	-2.275878
p3	smi	30	4	0.949407	-2.828001
p3	smi	30	5	0.082479	-2.424849
p3	smi	200	1	-0.247182	-0.213022
p3	smi	200	2	0.112185	-0.235796
p3	smi	200	3	-0.431672	0.048633
p3	smi	200	4	0.199456	-0.462373
p3	smi	200	5	-0.499355	-0.257238
p3	g2	30	1	-0.08697	2.010455
p3	g2	30	2	-0.803232	1.612196
p3	g2	30	3	-0.669928	1.611521
p3	g2	30	4	0.135545	-0.44142
p3	g2	30	5	-0.897295	2.636994
p3	g2	200	1	-0.800458	2.8725
p3	g2	200	2	-0.581307	3.37883
p3	g2	200	3	-0.75335	3.379253
p3	g2	200	4	-0.710495	1.440424
p3	g2	200	5	0.508458	3.008858
p3	g3	30	1	-0.592038	0.562963
p3	g3	30	2	-0.329815	0.840977
p3	g3	30	3	-0.492001	0.476362
p3	g3	30	4	-0.547026	0.202
p3	g3	30	5	-0.555971	1.209817
p3	g3	200	1	-0.217269	1.428003
p3	g3	200	2	0.032666	1.357491
p3	g3	200	3	-0.970773	0.973969
p3	g3	200	4	-0.50812	0.307588
p3	g3	200	5	0.060229	1.580689
p3	vps	30	1	1.670498	4.211967
p3	vps	30	2	-4.613918	3.659472
p3	vps	30	3	8.753629	5.592378
p3	vps	30	4	1.256153	7.286611
p3	vps	30	5	-0.584527	2.88374
p3	vps	200	1	0.641959	3.625254
p3	vps	200	2	-4.905925	1.47406
p3	vps	200	3	6.051835	4.268026
p3	vps	200	4	-0.281661	4.448163
p3	vps	200	5	-0.357912	2.957349
p4	invisible	30	1	-6.977301	-3.797072
p4	invisible	30	2	-5.648521	-2.733769
p4	invisible	30	3	-7.168125	-3.856507
p4	invisible	30	4	-6.374871	-4.694316
p4	invisible	30	5	-6.935778	-4.327488
p4	invisible	200	1	1.969744	-2.570812
p4	invisible	200	2	2.914521	-1.397082
p4	invisible	200	3	2.212368	-2.391127
p4	invisible	200	4	1.666691	-2.567327
p4	invisible	200	5	2.286527	-2.411111
p4	neon	30	1	-0.176285	-2.487756
p4	neon	30	2	-0.231647	-3.186717
p4	neon	30	3	-0.404736	-2.489567
p4	neon	30	4	-0.650573	-2.960875
p4	neon	30	5	-0.384063	-2.760825
p4	neon	200	1	-1.154176	0.275952
p4	neon	200	2	-0.857211	-0.287
p4	neon	200	3	0.042193	0.702819
p4	neon	200	4	-0.782181	0.441329
p4	neon	200	5	-0.997306	0.464471
p4	smi	30	1	0.659129	-4.438209
p4	smi	30	2	1.609946	-4.246335
p4	smi	30	3	-0.338825	-4.486077
p4	smi	30	4	0.475194	-4.798445
p4	smi	30	5	0.721497	-3.71717
p4	smi	200	1	0.205728	-1.120773
p4	smi	200	2	0.414117	-0.967445
p4	smi	200	3	0.130259	-1.152516
p4	smi	200	4	0.114007	-1.061512
p4	smi	200	5	0.455327	-1.358763
p4	g2	30	1	-0.501233	0.382396
p4	g2	30	2	-1.389177	0.215418
p4	g2	30	3	0.646675	1.249597
p4	g2	30	4	-0.095981	0.581464
p4	g2	30	5	-0.874504	1.213637
p4	g2	200	1	-0.806595	1.534378
p4	g2	200	2	-1.060803	1.794769
p4	g2	200	3	-0.484725	2.016461
p4	g2	200	4	-0.452546	1.114959
p4	g2	200	5	-0.776006	2.49653
p4	g3	30	1	-1.449891	-2.063867
p4	g3	30	2	-2.386417	-2.27363
p4	g3	30	3	-0.024734	-1.048484
p4	g3	30	4	-1.130127	-2.025269
p4	g3	30	5	-1.670836	-2.78199
p4	g3	200	1	-0.454212	-0.07197
p4	g3	200	2	-0.999713	-0.72014
p4	g3	200	3	-0.331336	0.012697
p4	g3	200	4	-0.441211	-0.108048
p4	g3	200	5	-0.38317	-1.755681
p4	vps	30	1	-4.613502	-5.819319
p4	vps	30	2	-8.777062	-7.269264
p4	vps	30	3	-2.339881	-6.10957
p4	vps	30	4	-6.81891	-5.314098
p4	vps	30	5	-6.238884	-5.390309
p4	vps	200	1	-6.815721	-0.51434
p4	vps	200	2	-9.9702	-4.598356
p4	vps	200	3	-1.936952	-2.928901
p4	vps	200	4	-6.797357	1.966922
