subject	glasses	component	bin	distance	offset
p1	invisible	horizontal	1	0.121316579	-7.302082848
p1	invisible	horizontal	2	0.1455051	-15.52598318
p1	invisible	horizontal	3	0.156288884	-14.28573013
p1	invisible	horizontal	4	0.164558586	-12.86408727
p1	invisible	horizontal	5	0.174394547	-12.51098632
p1	invisible	horizontal	6	0.179160549	-12.35520754
p1	invisible	horizontal	7	0.186379384	-11.12696272
p1	invisible	horizontal	8	0.191919861	-10.9632037
p1	invisible	horizontal	9	0.205196521	-10.26020467
p1	invisible	horizontal	10	0.223303399	-9.033620558
p1	invisible	horizontal	11	0.258600681	-7.663339628
p1	invisible	horizontal	12	0.313709968	-5.672068168
p1	invisible	horizontal	13	0.411088024	-4.048028533
p1	invisible	horizontal	14	0.568578534	-2.620671023
p1	invisible	horizontal	15	0.776502926	-1.004545388
p1	invisible	horizontal	16	1.098011221	-0.361801308
p1	invisible	horizontal	17	1.54003049	0.242280692
p1	invisible	horizontal	18	2.180766724	0.846958402
p1	invisible	horizontal	19	3.28164179	1.201839772
p1	invisible	horizontal	20	5.329257339	1.209313337
p1	invisible	vertical	1	0.121316579	-1.708083603
p1	invisible	vertical	2	0.1455051	-2.037544563
p1	invisible	vertical	3	0.156288884	-1.703682003
p1	invisible	vertical	4	0.164558586	-1.020582793
p1	invisible	vertical	5	0.174394547	-1.394003993
p1	invisible	vertical	6	0.179160549	-1.503649128
p1	invisible	vertical	7	0.186379384	-1.800153883
p1	invisible	vertical	8	0.191919861	-1.920366383
p1	invisible	vertical	9	0.205196521	-1.308549593
p1	invisible	vertical	10	0.223303399	-1.116900573
p1	invisible	vertical	11	0.258600681	-0.913297473
p1	invisible	vertical	12	0.313709968	-0.996585713
p1	invisible	vertical	13	0.411088024	-0.798769473
p1	invisible	vertical	14	0.568578534	-0.578657853
p1	invisible	vertical	15	0.776502926	-0.318643548
p1	invisible	vertical	16	1.098011221	-0.346418138
p1	invisible	vertical	17	1.54003049	-0.002870313
p1	invisible	vertical	18	2.180766724	0.218613737
p1	invisible	vertical	19	3.28164179	0.299780037
p1	invisible	vertical	20	5.329257339	0.120426292
p1	neon	horizontal	1	0.135954142	0.531928499
p1	neon	horizontal	2	0.138088249	0.563339424
p1	neon	horizontal	3	0.142910042	0.657592269
p1	neon	horizontal	4	0.144722384	1.122294569
p1	neon	horizontal	5	0.147379535	0.922010024
p1	neon	horizontal	6	0.151874046	1.389164834
p1	neon	horizontal	7	0.161411806	0.626460329
p1	neon	horizontal	8	0.171104521	0.687307584
p1	neon	horizontal	9	0.183536858	0.561353969
p1	neon	horizontal	10	0.193350231	0.596136089
p1	neon	horizontal	11	0.203579327	0.367494309
p1	neon	horizontal	12	0.220019972	0.494344149
p1	neon	horizontal	13	0.254472632	0.472192294
p1	neon	horizontal	14	0.30464569	0.493813454
p1	neon	horizontal	15	0.393890333	0.434745319
p1	neon	horizontal	16	0.534416529	0.290518534
p1	neon	horizontal	17	0.754405	0.256354069
p1	neon	horizontal	18	1.133157083	-0.014532631
p1	neon	horizontal	19	1.834007442	-0.180037771
p1	neon	horizontal	20	3.148735618	-0.243336856
p1	neon	vertical	1	0.135954142	-4.529913055
p1	neon	vertical	2	0.138088249	-4.40713015
p1	neon	vertical	3	0.142910042	-4.03260046
p1	neon	vertical	4	0.144722384	-2.72670352
p1	neon	vertical	5	0.147379535	-3.090752735
p1	neon	vertical	6	0.151874046	-2.549756845
p1	neon	vertical	7	0.161411806	-3.19276709
p1	neon	vertical	8	0.171104521	-2.250089225
p1	neon	vertical	9	0.183536858	-3.13221696
p1	neon	vertical	10	0.193350231	-2.9098889
p1	neon	vertical	11	0.203579327	-3.104318955
p1	neon	vertical	12	0.220019972	-2.66775278
p1	neon	vertical	13	0.254472632	-2.373176275
p1	neon	vertical	14	0.30464569	-1.82400535
p1	neon	vertical	15	0.393890333	-1.38833446
p1	neon	vertical	16	0.534416529	-0.854612775
p1	neon	vertical	17	0.754405	-0.37239282
p1	neon	vertical	18	1.133157083	0.00325548
p1	neon	vertical	19	1.834007442	0.48335706
p1	neon	vertical	20	3.148735618	0.86857295
p1	smi	horizontal	1	0.175025847	-0.109742671
p1	smi	horizontal	2	0.178430286	0.051885974
p1	smi	horizontal	3	0.182482897	1.296553064
p1	smi	horizontal	4	0.186675409	1.161092709
p1	smi	horizontal	5	0.19612545	0.217152539
p1	smi	horizontal	6	0.211092409	0.628869019
p1	smi	horizontal	7	0.222857582	0.094479644
p1	smi	horizontal	8	0.234698346	-0.018695976
p1	smi	horizontal	9	0.250267847	0.150474199
p1	smi	horizontal	10	0.268748021	0.080083809
p1	smi	horizontal	11	0.310535019	-0.013320781
p1	smi	horizontal	12	0.355631366	-0.232101471
p1	smi	horizontal	13	0.464796175	-0.265673156
p1	smi	horizontal	14	0.612321299	-0.279640821
p1	smi	horizontal	15	0.782483368	-0.390645241
p1	smi	horizontal	16	1.047628201	-0.312953651
p1	smi	horizontal	17	1.422395323	-0.160397631
p1	smi	horizontal	18	2.106760324	-0.110630581
p1	smi	horizontal	19	3.238473067	0.072071469
p1	smi	horizontal	20	5.396810705	0.122038579
p1	smi	vertical	1	0.175025847	-4.494218113
p1	smi	vertical	2	0.178430286	-4.978654193
p1	smi	vertical	3	0.182482897	-5.167139228
p1	smi	vertical	4	0.186675409	-4.969910128
p1	smi	vertical	5	0.19612545	-4.316893113
p1	smi	vertical	6	0.211092409	-4.011721288
