ID,x,y,rotation_angle,size
0,176.0625,172.75,0,270
1,417.125,90.167,0,150
2,594.5,90.167,0,155
3,771.875,90.167,0,150
4,1012.9375,172.75,0,270
5,427.125,260.333,0,135
6,594.5,260.333,0,135
7,761.875,260.333,0,135
8,97.375,420.5,0,160
9,269.75,420.5,0,135
10,427.125,420.5,0,135
11,543.5,372.5,0,55
12,645.5,372.5,0,55
13,564.5,420.5,0,20
14,594.5,390.5,0,20
15,624.5,420.5,0,20
16,594.5,450.5,0,20
17,543.5,468.5,0,55
18,645.5,468.5,0,55
19,761.875,420.5,0,135
20,919.25,420.5,0,135
21,1091.625,420.5,0,160
22,176.0625,668.25,0,270
23,427.125,580.667,0,135
24,594.5,580.667,0,135
25,761.875,580.667,0,135
26,1012.9375,668.25,0,270
27,417.125,750.833,0,150
28,594.5,750.833,0,155
29,771.875,750.833,0,150
