ID,x,y,rotation_angle,size
0,17.60625,17.275,0,27
1,41.7125,9.0167,0,15
2,59.45,9.0167,0,15.5
3,77.1875,9.0167,0,15
4,101.29375,17.275,0,27
5,42.7125,26.0333,0,13.5
6,59.45,26.0333,0,13.5
7,76.1875,26.0333,0,13.5
8,9.7375,42.05,0,16
9,26.975,42.05,0,13.5
10,42.7125,42.05,0,13.5
11,54.35,37.25,0,5.5
12,64.55,37.25,0,5.5
13,56.45,42.05,0,2
14,59.45,39.05,0,2
15,62.45,42.05,0,2
16,59.45,45.05,0,2
17,54.35,46.85,0,5.5
18,64.55,46.85,0,5.5
19,76.1875,42.05,0,13.5
20,91.925,42.05,0,13.5
21,109.1625,42.05,0,16
22,17.60625,66.825,0,27
23,42.7125,58.0667,0,13.5
24,59.45,58.0667,0,13.5
25,76.1875,58.0667,0,13.5
26,101.29375,66.825,0,27
27,41.7125,75.0833,0,15
28,59.45,75.0833,0,15.5
29,77.1875,75.0833,0,15
