ID,x,y
90,-14.13936,11.7828
91,-9.42624,11.7828
92,-4.71312,11.7828
93,0,11.7828
94,4.71312,11.7828
95,9.42624,11.7828
96,14.13936,11.7828
97,-14.13936,7.06968
98,-4.71312,7.06968
99,4.71312,7.06968
100,14.13936,7.06968
101,-14.13936,2.35656
102,-9.42624,4.12398
103,-4.71312,2.35656
104,0,4.12398
105,4.71312,2.35656
106,9.42624,4.12398
107,14.13936,2.35656
108,-14.13936,-2.35656
109,-9.42624,-4.12398
110,-4.71312,-2.35656
111,0,-4.12398
112,4.71312,-2.35656
113,9.42624,-4.12398
114,14.13936,-2.35656
115,-14.13936,-7.06968
116,-4.71312,-7.06968
117,4.71312,-7.06968
118,14.13936,-7.06968
119,-14.13936,-11.7828
120,-9.42624,-11.7828
121,-4.71312,-11.7828
122,0,-11.7828
123,4.71312,-11.7828
124,9.42624,-11.7828
125,14.13936,-11.7828
