ID,x,y
30,-15.7104,13.092
31,-10.4736,13.092
32,-5.2368,13.092
33,0,13.092
34,5.2368,13.092
35,10.4736,13.092
36,15.7104,13.092
37,-15.7104,7.8552
38,-5.2368,7.8552
39,5.2368,7.8552
40,15.7104,7.8552
41,-15.7104,2.6184
42,-10.4736,4.5822
43,-5.2368,2.6184
44,0,4.5822
45,5.2368,2.6184
46,10.4736,4.5822
47,15.7104,2.6184
48,-15.7104,-2.6184
49,-10.4736,-4.5822
50,-5.2368,-2.6184
51,0,-4.5822
52,5.2368,-2.6184
53,10.4736,-4.5822
54,15.7104,-2.6184
55,-15.7104,-7.8552
56,-5.2368,-7.8552
57,5.2368,-7.8552
58,15.7104,-7.8552
59,-15.7104,-13.092
60,-10.4736,-13.092
61,-5.2368,-13.092
62,0,-13.092
63,5.2368,-13.092
64,10.4736,-13.092
65,15.7104,-13.092
